Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration.
Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito. Falciparum malaria is the most severe.
Allergy,"An allergy is the immune system responding to a normally harmless foreign substance such as pollen, food, or pet dander."
Hypothyroidism,"Hypothyroidism is an underactive thyroid causing fatigue, weight gain and cold intolerance."
Psoriasis,"Psoriasis is a common skin disorder forming thick, red scaly patches often on scalp or joints."
GERD,Gastroesophageal reflux disease (GERD) causes reflux/heartburn due to lower esophageal sphincter dysfunction.
Chronic cholestasis,Chronic cholestatic diseases are characterized by defective bile acid transport from liver to intestine.
hepatitis A,Hepatitis A is a contagious liver infection caused by the hepatitis A virus.
Osteoarthristis,Osteoarthritis is wear-and-tear arthritis causing joint pain and stiffness.
(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) causes brief episodes of dizziness triggered by head movements.
Hypoglycemia,"Hypoglycemia is low blood sugar causing sweating, tremor, confusion; often related to diabetes treatment."
Acne,Acne vulgaris is formation of pimples and pustules in pilosebaceous units.
Diabetes,"Diabetes is high blood glucose; symptoms may include increased thirst, urination and fatigue."
Impetigo,Impetigo is a contagious skin infection producing honey-colored crusted sores.
Hypertension,"Hypertension is persistent high blood pressure, often asymptomatic."
Peptic ulcer diseae,Peptic ulcer disease is a sore in stomach or first part of small intestine causing pain and bleeding.
Dimorphic hemmorhoids(piles),Hemorrhoidal disease (piles) are swollen vascular structures in the anal canal causing pain/bleeding.
Common Cold,"The common cold is a viral infection of the upper respiratory tract causing runny nose, cough, sore throat."
Chicken pox,Chickenpox is a contagious viral illness causing itchy blisters and fever.
Cervical spondylosis,Cervical spondylosis is age-related wear affecting neck spinal disks and causing neck pain.
Hyperthyroidism,"Hyperthyroidism is excessive thyroid hormone causing weight loss, palpitations, heat intolerance."
Urinary tract infection,UTI is infection of urinary tract; common symptoms are burning urination and frequent urge.
Varicose veins,"Enlarged twisted veins, usually in legs, causing aching and swelling."
AIDS,Acquired immunodeficiency syndrome (AIDS) is caused by HIV and leads to immune dysfunction.
Paralysis (brain hemorrhage),Intracerebral hemorrhage causes sudden neurological deficits such as weakness or paralysis.
Typhoid,"Typhoid fever is caused by Salmonella typhi and produces prolonged fever, headache and malaise."
Hepatitis B,Hepatitis B causes liver inflammation; can lead to chronic disease and cirrhosis.
Fungal infection,Fungal infections affect skin or mucosa; common symptom is itching and rash.
Hepatitis C,Hepatitis C is inflammation of liver due to HCV; may progress to chronic liver disease.
Migraine,Migraine causes throbbing unilateral headache with nausea and light sensitivity.
Bronchial Asthma,Bronchial asthma is chronic airway inflammation causing wheeze and breathlessness.
Alcoholic hepatitis,Alcoholic hepatitis is liver inflammation from heavy alcohol use.
Jaundice,Jaundice is yellowing of skin and eyes due to elevated bilirubin.
Hepatitis E,Hepatitis E is liver inflammation transmitted by contaminated food/water.
Dengue,"Dengue is mosquito-borne viral illness with high fever, severe joint pain and rash."
Hepatitis D,Hepatitis D is a delta virus causing liver inflammation usually with HBV co-infection.
Heart attack,Myocardial infarction (heart attack) is death of heart muscle due to loss of blood supply.
Pneumonia,"Pneumonia is infection of lungs causing cough, fever, and difficulty breathing."
Arthritis,Arthritis is joint inflammation causing pain and decreased mobility.
Gastroenteritis,"Gastroenteritis is inflammation of digestive tract causing diarrhea, cramps and vomiting."
Tuberculosis,"Tuberculosis (TB) commonly affects lungs causing chronic cough, weight loss and fever."
Headache,Headache is pain anywhere in the head; many causes range from tension to migraine.
Fever,Fever (high temperature) is a systemic sign of infection or inflammation.
Cough,Cough is a reflex to clear the airway often from infections or irritants.
Cold / Runny nose,Runny nose and cold symptoms are common upper respiratory infections.
Sore throat,Sore throat is pain or irritation of the throat commonly from infection or inflammation.
Stomach pain,Stomach pain refers to abdominal discomfort from many causes such as gastritis or infection.
Vomiting,Vomiting is forceful expulsion of stomach contents; sign of GI irritation or infection.
Diarrhoea,"Diarrhoea is loose or watery stools often due to infection, food poisoning, or intolerance."
Body pain,Body pain (myalgia) is generalized muscle aches often seen in viral infections or strain.
Fatigue,Fatigue is extreme tiredness that can result from many medical or lifestyle causes.
